,669
0,174
00,1
000,91
0013,1
003,1
00329,1
00585,1
0062292049,1
00942,1
00958,1
01,3
0108,1
011108,1
01596,1
0166,1
017,1
017213,1
0173,1
01921,1
0195×109,1
01969,1
02,6
020650,1
02225,1
02240,1
02417,1
02430,1
026040,1
0262,1
02659,1
02850,1
0296,1
03,1
0315,1
0316414241,1
03245,1
03327,1
03621,1
042j,1
0434,1
0447,1
04530,1
0463,1
05077,1
05703,1
06,3
06132,1
06200,1
063,1
0636,1
06471,2
06560,1
06561,1
06566,1
06571,1
06575,1
07,1
07199,1
07351,1
0739366417,1
0753555620,1
08,2
08401,1
08594,1
08696,1
09,1
0900,1
09041,1
091350,1
091400,1
0953,1
09923,1
1,147
10,84
100,31
1000,1
1001,1
1007,1
100s,1
100th,3
101,1
1014736570,1
1016,1
1019,1
102,1
1022,1
105,1
106,3
1063,2
107,3
108,2
1088,1
108f,1
10925248,1
1093,3
109th,1
10x,1
11,28
110,1
1103,12
111,1
1116,2
1116f,1
1117,1
1119,1
1126,3
113,2
1133,1
115,1
117,1
119th,1
11th,1
12,35
120,2
12021988,1
1210321,1
12111,1
122,2
1220,1
123,4
124,1
125,2
1256,1
128,1
128k,1
12th,1
13,32
130,3
131,1
133,2
13506,1
13636,1
13889186,1
13c,1
13th,3
14,23
140,1
141,1
1415,1
142,1
143,1
1430,2
1430f,1
1438,1
144,1
147,1
14th,2
15,27
150,4
15026,1
150th,2
153,3
157,2
157w,1
1590,1
15th,2
16,28
160,1
1600,2
1610398299,1
162,1
164,1
16472,1
165,1
16th,1
17,29
171,1
1722572,1
17254,1
173,1
1737688,1
1749,1
176,1
177,1
17771,1
17774518,1
17778830,1
17791121,1
1783,1
179,1
1793,1
1799,1
17th,2
18,27
18099,1
181,2
1817,1
1822,1
1827,2
183,3
1830,1
1831,4
1834,1
1835,1
1839,3
1841,1
1842,1
1844,1
1846,1
1847,3
1849,1
1850,3
1851,1
18515,2
1853,1
1854,1
1855,5
1856,3
1857,3
1858,3
1859,2
1860,6
1861,8
1862,3
1864,1
1865,4
1866,2
1867,1
1868,2
1869,4
1870,1
1871,4
1872,1
1873,7
1874,2
1875,2
1876,2
1877,4
1878,5
1879,8
1880,2
1881,3
1882,5
1883,2
1884,2
1885,5
1887,1
1888,4
1889,1
1890,6
1890s,2
1891,7
1892,2
1893,5
1894,5
1895,8
1896,6
1897,2
1898,2
1899,2
18th,2
19,29
190,1
1900,9
1901,6
1902,5
1903,5
1904,2
1905,14
1906,6
1907,4
1908,6
1909,6
1910,4
1910s,1
1911,10
1912,13
1912)the,1
1913,8
1914,14
1915,8
1916,7
1917,13
1918,10
1919,19
1920,9
1920s,6
1921,15
1922,17
1923,6
1924,8
1925,8
1926,8
1927,4
1928,5
1929,6
1930,15
1930s,5
1931,12
1932,15
1933,16
1934,9
1935,8
1936,8
1937,12
1938,12
1939,17
1940,14
1940s,8
1941,17
1942,20
1943,7
1944,10
1945,12
1945rvm,1
1946,21
1947,23
